,Age_at_Booking,Booking_to_flight,Booking Year,Booking Month,Booking Dayofweek,Booking Is_month_end,Booking Is_month_start,Flight Month,Flight Dayofweek,Flight Is_month_end,Flight Is_month_start,distance,Class_0,Class_1,From_1,From_2,From_3,From_4,From_5,From_6,From_7,To_1,To_2,To_3,To_4,To_5,To_6,To_7,Time Label_0,Time Label_1,Time Label_2,Time Label_3,Time Label_4
19,41,42,2015,12,6,False,False,1,6,False,False,2191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,65,51,2016,1,2,False,False,2,4,False,False,2054.77,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,39,47,2016,1,1,False,False,3,6,False,False,2057.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,64,20,2016,3,5,False,False,3,4,False,False,991.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,54,1,2016,11,4,False,False,11,5,False,False,1334.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
24,69,8,2016,1,4,False,False,1,5,False,False,1419.33,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25,39,18,2016,3,2,False,False,3,6,False,False,1419.33,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,64,25,2016,7,0,False,False,8,4,False,False,991.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
27,48,7,2016,9,3,False,False,9,3,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
28,47,31,2016,2,4,False,False,3,0,False,False,536.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,72,30,2016,9,2,False,False,10,4,False,False,580.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30,47,38,2016,5,1,False,False,6,4,False,False,2042.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
31,39,36,2016,9,4,False,False,10,5,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
32,30,9,2016,9,1,False,False,9,3,False,False,580.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
33,34,21,2016,11,5,False,False,12,5,False,False,1568.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
34,16,12,2016,4,5,False,False,5,3,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
35,62,56,2016,3,4,False,False,5,4,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36,11,34,2016,3,6,False,False,4,5,True,False,539.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,11,15,2015,12,6,False,False,1,0,False,False,627.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,73,14,2016,9,6,False,False,10,6,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
39,57,18,2016,10,0,False,False,10,4,False,False,1671.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
40,39,33,2016,8,3,False,False,9,1,False,False,1446.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
41,45,34,2015,12,0,False,False,1,6,True,False,1568.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,60,23,2016,5,4,False,False,6,6,False,False,1419.33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,59,27,2016,6,6,False,False,7,5,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,28,6,2016,5,0,False,False,5,6,False,False,1507.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45,70,49,2016,9,6,False,False,11,6,False,False,1434.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,74,4,2016,1,4,False,False,2,1,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
47,43,10,2016,3,0,False,False,3,3,True,False,539.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
48,71,42,2016,1,5,False,False,2,5,False,False,710.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
49,52,5,2016,2,2,False,False,2,0,True,False,1073.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,75,29,2016,9,4,False,False,10,5,False,False,1671.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
51,68,25,2016,1,1,False,False,2,5,False,False,539.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52,53,17,2016,2,0,False,False,2,3,False,False,1744.17,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
53,36,10,2016,11,4,False,False,11,0,False,False,1334.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
54,32,21,2016,5,0,False,False,6,0,False,False,2057.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
55,74,47,2015,12,5,False,False,1,3,False,False,991.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
56,34,32,2016,5,6,False,True,6,3,False,False,991.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
57,59,12,2016,1,3,False,False,1,1,False,False,539.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
58,35,33,2016,8,2,True,False,10,0,False,False,2057.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,52,59,2016,1,4,False,False,3,0,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,60,23,2016,5,5,False,False,6,0,False,False,2057.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61,20,19,2016,6,2,False,False,6,0,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,36,33,2016,9,5,False,False,10,3,False,False,2042.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
63,34,12,2016,10,5,False,False,10,3,False,False,1073.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
64,75,7,2016,5,5,False,False,5,5,False,False,536.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,25,30,2016,1,5,False,False,2,0,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
66,70,11,2016,6,6,False,False,6,3,False,False,1744.17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
67,23,33,2016,10,5,False,False,11,3,False,False,1434.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68,79,24,2016,9,2,False,False,10,5,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
69,43,17,2016,3,5,False,False,4,1,False,False,1507.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
70,51,26,2016,9,2,False,False,10,0,False,False,1671.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
71,67,31,2016,3,6,False,False,4,2,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
72,50,14,2016,7,0,False,False,7,0,False,False,1334.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,28,58,2015,11,5,False,False,1,0,False,False,1434.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,26,0,2016,3,5,False,False,3,5,False,False,1472.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
75,15,18,2016,4,3,False,False,5,0,False,False,2191.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
76,70,35,2016,4,2,False,False,5,2,False,False,1073.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
77,72,45,2015,12,2,False,False,2,5,False,False,1073.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
78,58,0,2016,5,1,True,False,5,1,True,False,539.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
79,32,6,2016,3,3,False,False,3,2,False,False,1744.17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
80,67,23,2016,8,1,False,False,9,3,False,False,1334.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
81,68,28,2016,4,4,False,False,5,4,False,False,536.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
82,22,31,2016,7,5,False,False,8,1,False,False,2191.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
83,51,41,2016,2,4,False,False,3,3,False,False,1419.33,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
84,30,21,2016,3,0,False,False,4,0,False,False,1671.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
85,20,19,2016,8,0,False,False,9,5,False,False,1446.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,29,2,2016,1,4,False,True,1,6,False,False,1472.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,30,17,2016,5,0,False,False,5,3,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
88,61,16,2016,4,2,False,False,5,4,False,False,1507.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
89,61,9,2016,12,0,False,False,12,2,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,73,25,2016,4,0,False,False,5,4,False,False,1073.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
91,52,20,2016,2,1,False,False,3,0,False,False,2057.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
92,53,21,2016,3,6,False,False,4,6,False,False,2042.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
93,18,15,2016,3,1,False,False,4,2,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
94,27,20,2016,4,3,False,False,5,2,False,False,2191.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
95,70,38,2016,1,0,False,False,2,3,False,False,991.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
96,41,8,2016,9,1,False,False,9,2,False,False,991.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
97,62,12,2016,9,2,False,False,9,0,False,False,1491.67,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98,20,8,2016,9,4,False,False,9,5,False,False,1434.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
99,55,13,2016,6,6,False,False,6,5,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100,55,16,2016,11,6,False,False,11,1,False,False,710.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
101,62,5,2016,11,1,False,False,11,6,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
102,79,30,2015,12,0,False,False,1,2,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
103,41,24,2015,12,5,False,False,1,1,False,False,1419.33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104,80,20,2016,1,4,False,False,2,3,False,False,2191.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
105,73,32,2016,11,0,False,False,12,4,False,False,2042.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
106,76,1,2016,3,2,False,False,3,3,False,False,710.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
107,37,2,2016,4,6,False,False,4,1,False,False,1334.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
108,57,70,2016,8,4,False,False,11,4,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
109,65,4,2016,2,3,False,False,2,0,False,False,710.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
110,29,32,2016,6,2,False,False,7,6,True,False,539.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
111,71,31,2016,6,0,False,False,7,3,False,False,2054.77,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
112,38,30,2016,7,6,False,False,8,1,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113,35,9,2016,3,2,False,False,3,4,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
114,38,29,2016,10,4,False,False,11,5,False,False,1334.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
115,35,4,2016,2,6,False,False,2,3,False,False,1472.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116,11,17,2016,7,3,False,False,7,6,False,False,1507.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
117,12,7,2016,6,0,False,False,6,0,False,False,1446.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
118,53,28,2016,5,5,False,False,6,5,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
119,31,1,2016,12,3,False,True,12,4,False,False,580.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
120,12,22,2016,8,1,False,False,9,2,False,False,2054.77,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
121,80,20,2016,4,1,False,False,5,0,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
122,35,26,2016,8,6,False,False,9,4,False,False,1434.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
123,72,8,2016,1,1,False,False,1,2,False,False,539.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
124,34,7,2016,4,1,False,False,4,1,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
125,73,37,2016,1,2,False,False,2,4,False,False,627.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,58,16,2016,8,3,False,False,9,5,False,False,710.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,55,38,2016,3,5,False,False,4,1,False,False,1507.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
128,37,42,2016,6,4,False,False,8,4,False,False,580.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
129,12,12,2016,2,3,False,False,2,1,False,False,710.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
130,48,27,2016,4,6,False,False,5,5,False,False,2054.77,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
131,27,21,2016,7,0,False,False,8,0,False,True,536.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
132,76,8,2016,7,0,False,False,7,1,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
133,30,32,2016,7,2,False,False,8,6,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
134,35,59,2016,2,1,False,False,4,4,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
135,37,13,2016,8,2,True,False,9,1,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
136,69,45,2016,2,4,False,False,3,0,False,False,1446.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
137,20,13,2016,6,6,False,False,6,5,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138,59,34,2015,12,0,False,False,1,6,True,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
139,57,27,2016,1,2,False,False,2,1,False,False,2054.77,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
140,20,30,2016,9,0,False,False,10,2,False,False,1744.17,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
141,52,9,2016,8,2,False,False,8,4,False,False,2057.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
142,22,20,2016,5,4,False,False,5,3,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
143,32,16,2016,9,6,False,False,9,1,False,False,1419.33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
144,10,15,2016,1,4,False,False,1,5,False,False,1073.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
145,14,36,2016,11,5,False,False,12,6,False,False,1671.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
146,42,25,2016,6,4,False,False,7,1,False,False,1073.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
147,74,11,2016,1,1,False,False,1,5,False,False,1073.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
148,69,26,2016,8,1,False,False,9,6,False,False,1446.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
149,80,40,2016,2,2,False,False,3,0,False,False,1446.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
150,29,36,2016,8,2,False,False,9,3,False,False,991.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
151,30,28,2016,10,6,False,False,11,6,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
152,13,11,2016,12,4,False,False,12,1,False,False,1334.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
153,35,30,2016,5,6,False,False,6,1,False,False,2191.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
154,25,18,2016,4,2,False,False,5,6,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
155,65,18,2016,10,6,False,False,11,3,False,False,1434.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
156,56,48,2016,10,0,False,False,11,6,False,False,1419.33,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
157,61,19,2016,9,2,False,False,9,0,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
158,60,9,2016,4,6,False,False,4,1,False,False,1671.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
159,74,12,2016,3,3,False,False,3,1,False,False,1334.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
160,15,8,2016,11,0,False,False,12,1,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
161,32,28,2016,4,0,False,False,5,0,False,False,627.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
162,31,7,2016,8,3,False,False,9,3,False,True,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
163,39,10,2016,4,6,False,False,4,2,False,False,2054.77,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
164,25,23,2016,7,5,False,False,8,0,False,False,2042.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
165,43,23,2016,11,2,True,False,12,4,False,False,536.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
166,43,14,2016,9,6,False,False,10,6,False,False,1744.17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
167,31,49,2016,4,6,False,False,6,6,False,False,1446.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
168,67,43,2016,2,4,False,False,3,5,False,False,2054.77,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
169,55,4,2016,6,3,False,False,6,0,False,False,1434.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
170,40,50,2016,1,4,False,False,3,5,False,False,2191.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
171,60,10,2016,4,0,False,False,4,3,False,False,2057.3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
172,32,65,2016,5,1,False,False,7,3,False,False,539.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
173,46,19,2016,3,3,False,False,3,1,False,False,627.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
174,54,27,2016,4,0,False,False,5,6,False,False,991.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
175,36,32,2016,8,5,False,False,9,2,False,False,580.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
176,20,42,2016,2,0,False,False,3,0,False,False,710.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
177,73,11,2016,7,0,False,False,7,4,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
178,52,28,2016,9,1,False,False,10,1,False,False,1419.33,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
179,75,25,2016,6,2,False,False,7,6,False,False,539.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180,16,41,2016,1,0,False,False,2,6,False,False,536.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
181,27,47,2016,10,0,True,False,12,5,False,False,1472.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
182,66,19,2016,1,3,False,False,2,1,False,False,1446.5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
183,69,7,2016,5,4,False,False,5,4,False,False,1446.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
184,12,1,2016,4,4,False,False,4,5,False,False,1472.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
185,69,28,2016,2,0,False,False,3,0,False,False,1419.33,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
186,59,1,2016,7,4,False,False,7,5,False,False,1334.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
187,60,28,2016,5,0,False,False,5,0,False,False,1507.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
188,63,28,2016,10,0,False,False,11,0,False,False,1568.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
