,Flight Date,DJFUELUSGULF
536,2016-04-18,1.119
537,2016-03-06,
538,2016-07-16,
539,2016-09-23,1.299
540,2016-04-09,
541,2016-01-07,0.972
542,2016-12-26,0
543,2016-07-22,1.231
544,2016-12-20,1.508
545,2016-03-04,1.048
546,2016-05-23,1.363
547,2016-11-26,
548,2016-08-29,1.4
549,2016-12-13,1.485
550,2016-11-18,1.339
551,2016-08-03,1.156
552,2016-04-04,0.967
553,2016-05-27,1.37
554,2016-10-13,1.468
555,2016-04-01,1.005
556,2016-10-22,
557,2016-06-11,
558,2016-12-11,
559,2016-05-20,1.378
560,2016-08-18,1.396
561,2016-12-13,1.485
562,2016-04-25,1.175
563,2016-01-30,
564,2016-01-05,1.035
565,2016-01-20,0.804
566,2016-02-08,1.018
567,2016-04-28,1.397
568,2016-10-06,1.49
569,2016-03-06,
570,2016-03-11,1.089
571,2016-02-15,0
572,2016-10-31,1.395
573,2016-01-28,0.995
574,2016-07-14,1.288
575,2016-11-22,1.409
576,2016-03-29,1.012
577,2016-07-08,1.302
578,2016-05-31,1.36
579,2016-04-28,1.397
580,2016-07-14,1.288
581,2016-11-11,1.28
582,2016-02-10,0.925
583,2016-09-03,
584,2016-12-06,1.476
585,2016-01-07,0.972
586,2016-05-21,
587,2016-04-17,
588,2016-08-10,1.185
589,2016-02-07,
590,2016-04-20,1.217
591,2016-12-05,1.488
592,2016-08-26,1.412
593,2016-09-03,
594,2016-09-19,1.284
595,2016-10-25,1.45
596,2016-12-23,1.519
597,2016-11-21,1.413
598,2016-05-15,
599,2016-03-17,1.126
600,2016-04-16,
601,2016-06-05,
602,2016-11-04,1.324
603,2016-12-22,1.483
604,2016-11-17,1.321
605,2016-04-26,1.207
606,2016-02-25,0.943
607,2016-04-20,1.217
608,2016-04-22,1.177
609,2016-05-25,1.383
610,2016-07-01,1.424
611,2016-09-25,
612,2016-08-02,1.131
613,2016-04-19,1.154
614,2016-11-16,1.313
615,2016-05-24,1.375
616,2016-08-23,1.37
617,2016-12-18,
618,2016-09-28,1.369
619,2016-02-15,0
620,2016-06-23,1.407
621,2016-11-28,1.391
622,2016-10-14,1.46
623,2016-01-11,0.925
624,2016-10-08,
625,2016-04-15,1.112
626,2016-01-26,0.909
627,2016-01-23,
628,2016-07-26,1.192
629,2016-04-02,
630,2016-02-07,
631,2016-06-18,
632,2016-01-05,1.035
633,2016-10-27,1.456
634,2016-11-02,1.362
635,2016-10-28,1.436
636,2016-09-20,1.286
637,2016-04-02,
638,2016-04-09,
639,2016-09-23,1.299
640,2016-08-17,1.361
641,2016-04-30,
642,2016-07-27,1.163
643,2016-07-16,
644,2016-06-30,1.396
645,2016-03-24,1.064
646,2016-05-20,1.378
647,2016-09-25,
648,2016-04-04,0.967
649,2016-10-07,1.465
650,2016-01-05,1.035
651,2016-06-16,1.304
652,2016-03-29,1.012
653,2016-05-19,1.358
654,2016-06-01,1.373
655,2016-09-03,
656,2016-05-10,1.213
657,2016-03-11,1.089
658,2016-08-20,
659,2016-07-09,
660,2016-06-12,
661,2016-02-09,0.946
662,2016-12-22,1.483
663,2016-07-24,
664,2016-11-20,
665,2016-08-31,1.327
666,2016-05-15,
667,2016-12-09,1.451
668,2016-05-29,
669,2016-05-25,1.383
670,2016-10-23,
671,2016-09-01,1.274
672,2016-12-06,1.476
673,2016-03-23,1.095
674,2016-01-13,0.887
675,2016-09-28,1.369
676,2016-12-19,1.5
677,2016-11-09,1.336
678,2016-04-06,1.045
679,2016-12-12,1.482
680,2016-06-30,1.396
681,2016-08-17,1.361
682,2016-03-19,
683,2016-01-06,0.994
684,2016-09-06,1.296
685,2016-02-05,1.024
686,2016-09-21,1.32
687,2016-10-08,
688,2016-03-02,0.998
689,2016-09-26,1.324
690,2016-06-15,1.349
691,2016-07-29,1.144
692,2016-07-27,1.163
693,2016-09-30,1.418
694,2016-08-24,1.403
695,2016-05-28,
696,2016-06-23,1.407
697,2016-08-06,
698,2016-07-11,1.303
699,2016-04-14,1.158
700,2016-04-23,
701,2016-03-17,1.126
702,2016-03-05,
703,2016-07-07,1.302
704,2016-05-31,1.36
705,2016-08-18,1.396
706,2016-08-13,
707,2016-05-10,1.213
708,2016-07-17,
709,2016-12-19,1.5
710,2016-04-29,1.377
711,2016-07-07,1.302
712,2016-05-31,1.36
713,2016-08-17,1.361
714,2016-12-02,1.497
715,2016-05-25,1.383
716,2016-12-21,1.468
717,2016-02-15,0
718,2016-10-17,1.447
719,2016-11-06,
720,2016-08-13,
721,2016-10-28,1.436
722,2016-06-07,1.418
723,2016-07-23,
724,2016-06-09,1.424
725,2016-09-07,1.321
726,2016-07-07,1.302
727,2016-05-10,1.213
728,2016-04-09,
729,2016-11-08,1.325
730,2016-12-17,
731,2016-09-09,1.327
732,2016-03-31,1.056
733,2016-08-09,1.202
734,2016-11-10,1.32
735,2016-08-24,1.403
736,2016-08-14,
737,2016-12-25,
738,2016-11-13,
739,2016-10-30,
740,2016-08-01,1.133
741,2016-05-02,1.213
742,2016-12-29,1.545
743,2016-12-09,1.451
744,2016-12-29,1.545
745,2016-08-04,1.18
746,2016-12-13,1.485
747,2016-11-17,1.321
748,2016-10-06,1.49
749,2016-06-25,
750,2016-03-25,0
751,2016-01-09,
752,2016-04-19,1.154
753,2016-02-29,0.991
754,2016-01-21,0.835
755,2016-12-29,1.545
756,2016-01-12,0.912
757,2016-05-24,1.375
758,2016-08-13,
759,2016-05-28,
760,2016-10-28,1.436
761,2016-09-27,1.297
762,2016-07-16,
763,2016-12-11,
764,2016-08-29,1.4
765,2016-04-24,
766,2016-12-24,
767,2016-04-06,1.045
768,2016-02-11,0.945
769,2016-03-17,1.126
770,2016-07-28,1.142
771,2016-01-16,
772,2016-06-05,
773,2016-01-30,
774,2016-05-12,1.262
775,2016-06-30,1.396
776,2016-09-19,1.284
777,2016-04-22,1.177
778,2016-03-08,1.072
779,2016-04-25,1.175
780,2016-12-24,
781,2016-04-02,
782,2016-09-06,1.296
783,2016-05-08,
784,2016-11-28,1.391
785,2016-07-17,
786,2016-01-07,0.972
787,2016-08-28,
788,2016-05-31,1.36
789,2016-01-21,0.835
790,2016-01-15,0.868
791,2016-06-05,
792,2016-01-24,
793,2016-07-28,1.142
794,2016-06-23,1.407
795,2016-04-28,1.397
796,2016-10-18,1.462
797,2016-06-19,
798,2016-07-22,1.231
799,2016-08-16,1.333
800,2016-09-16,1.298
801,2016-11-03,1.346
802,2016-09-09,1.327
803,2016-02-13,
804,2016-03-07,1.096
805,2016-01-03,
806,2016-09-20,1.286
807,2016-03-09,1.109
808,2016-03-14,1.068
809,2016-04-29,1.377
810,2016-11-22,1.409
811,2016-04-02,
812,2016-05-04,1.202
813,2016-02-13,
814,2016-03-06,
815,2016-06-04,
816,2016-10-22,
817,2016-07-29,1.144
818,2016-06-11,
819,2016-10-08,
820,2016-12-05,1.488
821,2016-04-07,1.036
822,2016-11-28,1.391
823,2016-12-08,1.436
824,2016-04-13,1.166
825,2016-11-24,0
826,2016-12-26,0
827,2016-11-21,1.413
828,2016-03-20,
829,2016-07-14,1.288
830,2016-09-26,1.324
831,2016-12-09,1.451
832,2016-10-02,
833,2016-09-19,1.284
834,2016-05-04,1.202
835,2016-04-04,0.967
836,2016-09-26,1.324
837,2016-06-03,1.362
838,2016-05-20,1.378
839,2016-09-18,
840,2016-08-23,1.37
841,2016-09-23,1.299
842,2016-06-04,
843,2016-09-19,1.284
844,2016-04-24,
845,2016-05-04,1.202
846,2016-04-11,1.12
847,2016-02-13,
848,2016-12-21,1.468
849,2016-06-25,
850,2016-01-14,0.903
851,2016-06-26,
852,2016-12-15,1.478
853,2016-03-17,1.126
854,2016-01-11,0.925
855,2016-05-12,1.262
856,2016-12-04,
857,2016-11-30,1.444
858,2016-06-13,1.381
859,2016-06-24,1.349
860,2016-02-19,0.957
861,2016-04-28,1.397
862,2016-01-11,0.925
863,2016-04-17,
864,2016-03-07,1.096
865,2016-06-14,1.374
866,2016-01-31,
867,2016-11-24,0
868,2016-08-02,1.131
869,2016-10-04,1.445
870,2016-09-28,1.369
871,2016-03-04,1.048
872,2016-12-07,1.371
873,2016-08-22,1.355
874,2016-06-14,1.374
875,2016-09-22,1.337
876,2016-02-15,0
877,2016-11-10,1.32
878,2016-04-03,
879,2016-09-01,1.274
880,2016-10-01,
881,2016-04-30,
882,2016-09-04,
883,2016-09-25,
884,2016-01-01,0
885,2016-07-08,1.302
886,2016-03-21,1.101
887,2016-09-23,1.299
888,2016-02-09,0.946
889,2016-08-20,
890,2016-11-05,
891,2016-12-17,
892,2016-04-26,1.207
893,2016-03-17,1.126
894,2016-03-23,1.095
895,2016-05-06,1.209
896,2016-06-02,1.378
897,2016-11-26,
898,2016-08-03,1.156
899,2016-01-03,
900,2016-09-01,1.274
901,2016-12-05,1.488
902,2016-10-19,1.473
903,2016-11-05,
904,2016-01-04,1.039
905,2016-02-21,
906,2016-04-05,0.951
907,2016-09-26,1.324
908,2016-01-06,0.994
909,2016-06-21,1.395
910,2016-12-07,1.371
911,2016-07-21,1.239
912,2016-11-30,1.444
913,2016-02-04,1.041
914,2016-01-08,0.954
915,2016-08-29,1.4
916,2016-04-29,1.377
917,2016-11-02,1.362
918,2016-06-12,
919,2016-05-10,1.213
920,2016-03-16,1.105
921,2016-04-19,1.154
922,2016-01-11,0.925
923,2016-09-06,1.296
924,2016-02-14,
925,2016-10-11,1.479
926,2016-10-29,
927,2016-06-11,
928,2016-05-02,1.213
929,2016-02-24,0.934
930,2016-01-08,0.954
931,2016-09-28,1.369
932,2016-10-18,1.462
933,2016-05-12,1.262
934,2016-07-01,1.424
935,2016-09-16,1.298
936,2016-05-22,
937,2016-11-24,0
938,2016-05-22,
939,2016-01-06,0.994
940,2016-11-28,1.391
941,2016-08-03,1.156
942,2016-10-22,
943,2016-01-15,0.868
944,2016-07-20,1.277
945,2016-10-27,1.456
946,2016-01-04,1.039
947,2016-04-13,1.166
948,2016-04-18,1.119
949,2016-12-23,1.519
950,2016-12-06,1.476
951,2016-09-14,1.282
952,2016-10-17,1.447
953,2016-07-28,1.142
954,2016-07-10,
955,2016-12-26,0
956,2016-05-13,1.29
957,2016-09-09,1.327
958,2016-04-15,1.112
959,2016-01-23,
960,2016-09-25,
961,2016-05-23,1.363
962,2016-09-16,1.298
963,2016-03-13,
964,2016-03-06,
965,2016-10-20,1.451
966,2016-02-23,0.902
967,2016-12-07,1.371
968,2016-01-01,0
969,2016-11-28,1.391
970,2016-07-30,
971,2016-10-02,
972,2016-11-04,1.324
973,2016-08-09,1.202
974,2016-03-06,
975,2016-07-03,
976,2016-09-29,1.397
977,2016-07-19,1.255
978,2016-09-22,1.337
979,2016-07-06,1.364
980,2016-05-25,1.383
981,2016-07-27,1.163
982,2016-11-09,1.336
983,2016-02-17,1.008
984,2016-05-07,
985,2016-05-28,
986,2016-03-09,1.109
987,2016-03-24,1.064
988,2016-11-13,
989,2016-01-27,0.963
990,2016-02-09,0.946
991,2016-06-20,1.4
992,2016-03-23,1.095
993,2016-08-28,
994,2016-10-24,1.469
995,2016-04-03,
996,2016-05-31,1.36
997,2016-11-25,1.4
998,2016-04-12,1.18
999,2016-03-13,
1000,2016-01-31,
1001,2016-06-04,
1002,2016-07-07,1.302
1003,2016-11-26,
1004,2016-11-01,1.412
1005,2016-11-21,1.413
1006,2016-01-15,0.868
1007,2016-04-18,1.119
1008,2016-10-02,
1009,2016-09-25,
1010,2016-11-30,1.444
1011,2016-01-26,0.909
1012,2016-04-12,1.18
1013,2016-02-03,1.047
1014,2016-02-26,0.935
1015,2016-10-11,1.479
1016,2016-11-17,1.321
1017,2016-02-05,1.024
1018,2016-09-02,1.278
1019,2016-03-30,1.028
1020,2016-04-08,1.098
1021,2016-08-26,1.412
1022,2016-01-07,0.972
1023,2016-05-27,1.37
1024,2016-04-15,1.112
1025,2016-11-14,1.272
1026,2016-06-10,1.392
1027,2016-11-11,1.28
1028,2016-11-23,1.4
1029,2016-10-13,1.468
1030,2016-08-01,1.133
1031,2016-05-07,
1032,2016-07-20,1.277
1033,2016-08-06,
1034,2016-03-22,1.14
1035,2016-11-16,1.313
1036,2016-02-02,0.936
1037,2016-07-28,1.142
1038,2016-11-09,1.336
1039,2016-02-22,0.949
1040,2016-04-09,
1041,2016-04-15,1.112
1042,2016-12-26,0
1043,2016-02-14,
1044,2016-03-10,1.09
1045,2016-07-12,1.345
1046,2016-05-11,1.264
1047,2016-07-21,1.239
1048,2016-12-18,
1049,2016-03-28,1.061
1050,2016-10-13,1.468
1051,2016-06-15,1.349
1052,2016-04-08,1.098
1053,2016-08-30,1.384
1054,2016-06-22,1.384
1055,2016-02-23,0.902
1056,2016-04-12,1.18
1057,2016-01-26,0.909
1058,2016-10-28,1.436
1059,2016-04-13,1.166
1060,2016-05-15,
1061,2016-09-09,1.327
1062,2016-08-12,1.283
1063,2016-04-01,1.005
1064,2016-09-18,
1065,2016-05-18,1.362
1066,2016-08-11,1.249
1067,2016-05-28,
1068,2016-03-22,1.14
1069,2016-10-19,1.473
1070,2016-10-11,1.479
1071,2016-07-08,1.302
1072,2016-04-17,
1073,2016-10-14,1.46
1074,2016-04-18,1.119
1075,2016-09-28,1.369
1076,2016-11-25,1.4
1077,2016-07-29,1.144
1078,2016-07-26,1.192
1079,2016-05-30,0
1080,2016-09-28,1.369
1081,2016-01-21,0.835
1082,2016-12-13,1.485
1083,2016-08-03,1.156
1084,2016-02-24,0.934
1085,2016-05-13,1.29
1086,2016-01-02,
1087,2016-01-31,
1088,2016-06-26,
1089,2016-04-06,1.045
1090,2016-11-23,1.4
1091,2016-04-13,1.166
1092,2016-03-17,1.126
1093,2016-11-08,1.325
1094,2016-07-30,
1095,2016-07-24,
1096,2016-06-06,1.375
1097,2016-01-06,0.994
1098,2016-08-02,1.131
1099,2016-01-14,0.903
1100,2016-01-15,0.868
1101,2016-09-26,1.324
1102,2016-07-01,1.424
1103,2016-05-28,
1104,2016-04-15,1.112
1105,2016-12-15,1.478
1106,2016-10-15,
1107,2016-04-11,1.12
1108,2016-02-19,0.957
1109,2016-01-27,0.963
1110,2016-11-16,1.313
1111,2016-08-01,1.133
1112,2016-08-06,
1113,2016-03-09,1.109
1114,2016-03-07,1.096
1115,2016-12-09,1.451
1116,2016-07-08,1.302
1117,2016-11-26,
1118,2016-06-08,1.454
1119,2016-10-30,
1120,2016-07-05,1.358
1121,2016-09-03,
1122,2016-01-07,0.972
1123,2016-07-31,
1124,2016-04-14,1.158
1125,2016-12-07,1.371
1126,2016-02-26,0.935
1127,2016-05-26,1.367
1128,2016-05-19,1.358
1129,2016-11-19,
1130,2016-04-27,1.251
1131,2016-07-15,1.251
1132,2016-10-20,1.451
1133,2016-05-24,1.375
1134,2016-01-31,
1135,2016-12-06,1.476
1136,2016-10-03,1.451
1137,2016-02-02,0.936
1138,2016-11-23,1.4
1139,2016-04-18,1.119
1140,2016-10-10,1.465
